company,sector,stage_at_observation,location,ceo_personality,team_openness_mean,team_conscientiousness_mean,team_extraversion_mean,team_agreeableness_mean,team_neuroticism_mean,founder_age,founder_prev_exits,founder_experience_years_pre,founder_tech_background,pre_series_a_months_since_founded,pre_series_a_team_size,pre_series_a_release_freq,market_size_usd,pre_series_a_mrr_usd,pre_series_a_growth_3m,pre_series_a_prior_funding_usd,pre_series_a_burn_usd,burn_multiple,pipeline_conversion_rate,competition_density,sector_trend_score_at_investment,buzzword_density,prior_investor_reputation,syndicate_size,prior_investor_followon_rate,pre_series_a_val_rev_ratio,current_employee_count,raised_series_a_36m,exited_36m,shutdown_36m,success_36m,mrr_peak_usd_36m
Atlas Drive,Climate,Pre-Seed,EU,Visionary,0.739,0.599,0.629,0.507,0.459,31,0,7,1,16,6,0,4192527.36,3376.99,0.076,458189.31,33143.68,10.732,0.298,3,0.594,0.229,0.678,1,0.158,7.436,12,1,0,1,0,3626.63
Nova Dynamics,Climate,Pre-Seed,EU,Operator,0.414,0.844,0.586,0.524,0.498,43,0,17,1,1,2,1,10389547.47,8059.64,0.094,280198.76,15463.26,1.698,0.207,1,0.515,0.394,0.0,1,0.0,8.267,5,0,1,1,0,35647.83
Nimbus Cloud,AI/ML,Pre-Seed,US,Visionary,0.8,0.561,0.601,0.619,0.331,42,0,13,1,9,3,0,3918649.25,0.0,0.187,541842.46,11042.74,20.0,0.166,2,0.504,0.118,0.541,1,0.107,5.047,6,0,0,1,0,0.0
Sigma Works,Bio/Health,Seed,UK,Salesperson,0.53,0.501,0.801,0.461,0.535,31,0,17,0,23,9,2,5894228.64,2985.22,0.109,395898.83,44830.03,11.476,0.123,2,0.706,0.136,0.18,1,0.504,28.584,15,0,0,1,0,6813.99
Urban Grid,Bio/Health,Seed,EU,Visionary,0.671,0.632,0.589,0.436,0.416,36,0,14,0,19,16,2,9312963.44,13655.62,0.262,271336.51,8234.84,0.192,0.148,2,0.326,0.214,0.396,2,0.587,11.555,22,1,0,1,0,51430.59
Polar Drive,Hardware,Seed,US,Visionary,0.689,0.511,0.675,0.465,0.329,44,0,6,0,19,15,3,13273938.37,8376.24,0.306,491377.15,68263.92,2.222,0.178,2,0.711,0.006,0.254,3,0.599,9.767,20,0,0,1,0,10905.38
Spark Drive,DevTools,Pre-Seed,UK,Engineer,0.513,0.722,0.481,0.625,0.51,35,0,8,1,8,3,0,6189228.5,5847.74,0.149,160705.43,1036.35,0.099,0.14,4,0.576,0.108,0.436,1,0.311,3.255,6,0,0,1,0,11083.75
Eco Drive,SaaS,Pre-Seed,EU,Operator,0.497,0.586,0.452,0.638,0.485,28,0,4,1,1,12,0,9171067.65,13806.8,0.479,135694.67,74726.27,0.942,0.18,3,0.538,0.344,0.397,2,0.183,12.866,12,0,0,1,0,16130.01
Vertex Drive,AI/ML,Seed,US,Salesperson,0.426,0.575,0.837,0.526,0.269,36,0,9,0,29,4,3,3037439.81,14985.18,0.113,252410.98,66821.6,3.285,0.333,4,0.647,0.057,0.516,1,0.183,30.167,10,1,0,0,1,243907.41
Polar Analytics,Fintech,Pre-Seed,EU,Operator,0.576,0.963,0.607,0.623,0.301,28,0,7,0,27,2,0,11208183.9,6173.47,0.116,98760.66,93692.33,10.944,0.045,5,0.521,0.242,0.281,2,0.279,28.811,4,0,0,1,0,6173.47
Hyper OS,Fintech,Pre-Seed,UK,Operator,0.546,0.799,0.541,0.551,0.389,31,0,3,1,4,3,2,22202415.78,16612.62,-0.032,90149.51,11505.1,20.0,0.084,7,0.455,0.446,0.406,1,0.539,8.616,8,1,0,1,0,48873.73
Spark Grid,AI/ML,Seed,LatAm,Operator,0.536,0.847,0.454,0.572,0.171,41,0,15,1,30,13,1,3851907.32,31878.35,-0.057,881794.8,11099.31,20.0,0.128,6,0.587,0.084,0.553,1,0.552,8.824,19,0,0,1,0,43760.38
Urban Dynamics,AI/ML,Seed,US,Visionary,0.891,0.501,0.582,0.662,0.466,36,0,24,1,24,13,1,4325781.55,16615.38,-0.019,665570.79,25282.2,20.0,0.229,4,0.344,0.261,0.728,3,0.162,32.364,23,1,1,0,1,78922.96
Urban Labs,AI/ML,Pre-Seed,India,Engineer,0.731,0.668,0.415,0.426,0.312,34,0,9,1,24,9,2,14681399.87,19719.94,-0.285,252906.3,32460.9,20.0,0.148,3,0.735,0.118,0.408,2,0.174,15.895,11,0,0,1,0,26927.27
Terra Forge,DevTools,Seed,EU,Operator,0.537,0.824,0.514,0.655,0.409,35,0,10,0,23,10,0,15193439.34,17400.01,0.279,665832.62,129813.03,2.226,0.176,5,0.809,0.37,0.768,5,0.456,12.177,19,1,0,1,0,160225.83
Hyper Bio,AI/ML,Pre-Seed,US,Operator,0.61,0.601,0.491,0.609,0.371,29,0,10,1,11,15,1,3921792.63,3272.46,-0.138,216220.97,53573.99,20.0,0.106,2,0.777,0.676,0.433,2,0.292,9.275,16,1,0,1,0,5597.06
Terra Bio,Bio/Health,Seed,EU,Visionary,0.834,0.538,0.588,0.453,0.431,36,0,9,1,66,8,2,8972934.91,18613.5,0.205,493604.6,71883.94,1.568,0.251,3,0.577,0.05,0.329,1,0.276,18.857,6,0,0,1,0,27844.71
Nimbus AI,DevTools,Seed,US,Operator,0.362,0.789,0.672,0.34,0.417,36,0,13,0,31,10,2,11514142.13,42840.58,0.231,634361.35,35874.82,0.302,0.16,6,0.232,0.087,0.357,3,0.449,16.679,9,1,0,1,0,94959.9
Hyper Grid,Bio/Health,Pre-Seed,SEA,Operator,0.321,0.759,0.365,0.568,0.356,25,0,9,0,1,9,1,6241914.01,3176.96,0.046,123626.01,72942.26,20.0,0.18,1,0.739,0.425,0.397,3,0.0,6.941,11,0,0,1,0,3929.89
Vertex AI,AI/ML,Pre-Seed,SEA,Visionary,0.717,0.671,0.504,0.493,0.549,21,0,12,1,13,2,0,12609668.7,8320.95,0.358,127276.57,6840.07,0.191,0.22,7,0.632,0.329,0.965,3,0.612,3.196,7,1,0,1,0,26542.51
Sigma Grid,Fintech,Seed,India,Engineer,0.66,0.674,0.465,0.485,0.475,36,0,15,0,24,11,3,5303229.52,7733.83,-0.046,545008.13,65778.4,20.0,0.204,5,0.493,0.415,0.448,3,0.299,7.925,10,0,0,1,0,11016.76
Sigma Works,Fintech,Pre-Seed,US,Operator,0.577,0.644,0.56,0.345,0.346,28,0,13,1,22,9,0,6767507.66,24010.47,0.263,212873.28,75559.04,0.996,0.234,9,0.668,0.144,0.35,2,0.0,9.917,10,0,0,1,0,75760.9
Urban AI,AI/ML,Seed,UK,Operator,0.502,0.79,0.463,0.564,0.407,32,0,8,0,9,13,2,157594671.92,21279.8,0.333,604559.91,23605.21,0.277,0.128,4,0.612,0.27,0.698,2,0.836,15.312,14,1,0,1,0,128293.86
Nova Logic,DevTools,Seed,EU,Engineer,0.692,0.673,0.677,0.5,0.443,33,0,15,1,40,13,2,20127571.9,13334.99,0.348,494554.02,89628.74,1.608,0.102,5,0.544,0.024,0.325,3,0.626,18.361,19,1,0,1,0,21279.95
Aero Systems,Climate,Seed,US,Operator,0.63,0.755,0.62,0.566,0.415,24,0,15,1,42,7,1,17933581.04,7931.79,0.026,610024.96,36620.44,15.067,0.09,4,0.62,0.235,0.78,3,0.304,23.22,9,1,0,1,0,123474.81
Atlas Pulse,Climate,Seed,US,Operator,0.533,0.836,0.487,0.663,0.487,25,0,17,1,21,13,2,10070567.06,14609.39,0.202,599579.67,129164.01,3.641,0.229,4,0.596,0.293,0.198,2,0.676,30.299,29,1,0,1,0,77918.48
Nova Works,DevTools,Pre-Seed,UK,Visionary,0.64,0.42,0.629,0.393,0.488,30,0,9,0,9,2,1,36413931.46,6406.71,0.275,614244.13,64369.63,3.044,0.241,1,0.649,0.387,0.427,1,0.255,12.399,11,1,0,1,0,22548.94
Nova Dynamics,AI/ML,Pre-Seed,LatAm,Engineer,0.602,0.641,0.24,0.545,0.338,38,0,5,1,13,3,1,14099855.89,16419.65,0.269,122042.8,14114.01,0.267,0.223,3,0.838,0.059,0.25,2,0.315,9.846,21,1,1,1,0,176651.22
Spark Dynamics,Bio/Health,Seed,US,Salesperson,0.68,0.332,0.731,0.598,0.369,20,0,15,0,38,8,1,22159444.1,4937.67,0.105,367031.71,99888.92,16.011,0.224,6,0.285,0.357,0.629,4,0.516,26.482,13,1,0,1,0,4937.67
Eco AI,SaaS,Pre-Seed,MENA,Operator,0.624,0.789,0.604,0.694,0.426,39,0,7,1,27,2,2,45742768.21,0.0,-0.128,137814.72,61434.64,20.0,0.039,4,0.436,0.127,0.176,2,0.296,6.014,11,0,1,1,0,0.0
Atlas Pulse,Fintech,Pre-Seed,EU,Operator,0.686,0.652,0.582,0.486,0.43,33,0,15,1,8,2,1,7140403.49,22554.12,0.231,71103.74,86555.49,1.385,0.232,3,0.579,0.197,0.663,2,0.222,3.852,2,0,1,1,0,223867.84
Polar Logic,Hardware,Seed,US,Operator,0.617,0.834,0.571,0.664,0.425,34,0,14,1,39,4,1,21541592.86,11518.35,0.052,2046645.91,109700.12,15.221,0.1,5,0.517,0.054,0.62,2,0.47,9.675,4,0,0,1,0,13614.47
Nova Works,AI/ML,Seed,EU,Operator,0.594,0.819,0.54,0.548,0.425,34,0,14,1,31,19,0,5429340.07,17059.15,0.035,190047.42,82432.29,11.599,0.166,6,0.727,0.165,0.573,2,0.517,8.862,16,1,0,1,0,33092.55
Atlas Labs,Bio/Health,Seed,UK,Operator,0.458,0.642,0.397,0.67,0.411,34,0,7,0,39,10,0,8012911.7,19522.66,0.292,626307.08,101632.17,1.483,0.189,2,0.424,0.28,0.465,1,0.3,12.351,19,1,0,1,0,42874.33
Nova Grid,DevTools,Pre-Seed,US,Engineer,0.71,0.753,0.304,0.568,0.467,30,0,10,1,16,2,0,7732401.16,0.0,0.042,82808.2,30797.43,20.0,0.141,2,0.799,0.438,0.68,1,0.281,6.833,6,0,0,1,0,0.0
Spark Drive,SaaS,Seed,US,Operator,0.502,0.887,0.485,0.494,0.453,28,0,16,0,53,16,1,4283992.3,21684.48,0.071,569715.68,93786.85,5.098,0.162,5,0.507,0.151,0.548,3,0.104,9.622,22,1,1,1,0,98476.86
Nimbus Drive,DevTools,Pre-Seed,EU,Operator,0.438,0.751,0.606,0.496,0.414,35,0,13,1,39,2,0,15835380.84,15666.6,-0.015,44118.59,4189.41,20.0,0.144,3,0.76,0.159,0.745,1,0.0,5.889,16,1,1,0,1,260401.85
Nimbus OS,Hardware,Pre-Seed,US,Operator,0.545,0.844,0.435,0.515,0.362,34,0,6,0,4,2,1,3735611.06,0.0,0.033,99828.33,51928.77,20.0,0.064,3,0.15,0.08,0.598,2,0.472,4.616,8,0,0,1,0,0.0
Spark Forge,DevTools,Seed,US,Engineer,0.539,0.604,0.528,0.464,0.454,31,0,15,1,34,13,2,5852150.78,32284.7,0.266,775633.86,106539.99,1.033,0.084,3,0.432,0.265,0.639,1,0.139,8.357,17,1,1,1,0,882419.73
Sigma Cloud,SaaS,Seed,SEA,Salesperson,0.504,0.412,0.89,0.585,0.42,30,0,8,0,25,12,1,6656252.41,1680.17,0.023,147216.99,52984.91,20.0,0.187,1,0.511,0.182,0.205,1,0.436,9.729,12,0,0,1,0,1900.43
Hyper Stack,AI/ML,Seed,SEA,Visionary,0.695,0.519,0.72,0.33,0.501,38,0,12,1,19,15,2,16714357.42,12250.47,0.149,701474.42,37655.45,1.724,0.024,3,0.312,0.031,0.729,4,0.686,25.291,26,1,1,0,1,131200.0
Quantum Systems,SaaS,Pre-Seed,India,Engineer,0.575,0.736,0.468,0.396,0.349,25,0,14,1,13,7,0,114073056.75,10033.3,-0.236,349271.68,49483.37,20.0,0.206,4,0.528,0.085,0.0,1,0.592,7.043,6,0,0,1,0,10033.3
Atlas Dynamics,SaaS,Seed,EU,Visionary,0.772,0.366,0.712,0.401,0.589,28,0,12,1,19,5,2,15989590.89,28515.45,0.315,233030.05,37332.32,0.346,0.169,3,0.433,0.457,0.303,4,0.322,15.788,15,1,0,0,1,1431083.67
Sigma AI,Bio/Health,Pre-Seed,MENA,Engineer,0.637,0.688,0.346,0.37,0.411,36,0,4,1,6,6,0,8896635.3,10679.61,0.004,28403.25,20392.77,20.0,0.135,2,0.424,0.167,0.332,3,0.652,8.654,11,0,0,1,0,11715.35
Flow Forge,Bio/Health,Seed,US,Operator,0.61,0.679,0.611,0.678,0.361,40,0,7,1,28,5,2,29991729.17,6691.99,0.098,352198.93,71756.55,9.137,0.208,4,0.633,0.054,0.668,3,0.619,23.563,14,1,0,1,0,19615.11
Aero Labs,AI/ML,Pre-Seed,LatAm,Engineer,0.584,0.763,0.431,0.524,0.265,41,0,12,0,20,7,1,36214920.11,0.0,0.409,215476.87,49168.91,20.0,0.221,5,0.523,0.157,0.431,1,0.409,7.564,9,0,0,1,0,0.0
Hyper Stack,AI/ML,Pre-Seed,MENA,Engineer,0.637,0.758,0.499,0.453,0.406,40,0,11,0,18,3,0,21003123.97,21377.24,0.049,508495.49,64647.73,5.11,0.248,6,0.401,0.082,0.329,1,0.366,3.192,16,1,0,1,0,23094.65
Polar OS,Fintech,Pre-Seed,US,Visionary,0.881,0.606,0.583,0.449,0.438,20,0,12,0,6,9,1,2651198.62,32006.43,0.351,190681.35,2012.91,0.015,0.144,7,0.359,0.095,0.625,2,0.184,4.813,4,1,0,1,0,217921.1
Vertex Analytics,DevTools,Seed,EU,Salesperson,0.613,0.513,0.706,0.494,0.602,32,0,15,1,33,12,3,14154796.95,12809.48,0.087,475490.42,90060.47,6.727,0.207,2,0.298,0.188,0.568,4,0.479,10.588,12,1,0,1,0,118265.86
Eco OS,Climate,Seed,US,Operator,0.545,0.618,0.539,0.592,0.302,27,0,10,1,22,9,1,11954017.04,0.0,0.002,475376.83,73285.24,20.0,0.2,1,0.54,0.138,0.147,2,0.26,8.755,8,0,0,1,0,0.0
Eco Logic,SaaS,Pre-Seed,EU,Visionary,0.863,0.504,0.819,0.535,0.486,39,0,7,1,19,2,0,5924687.42,4615.13,0.327,214583.58,16314.57,0.901,0.224,5,0.295,0.326,0.614,1,0.442,6.646,12,0,0,1,0,10513.64
Nimbus Pulse,Bio/Health,Pre-Seed,US,Salesperson,0.615,0.617,0.775,0.691,0.43,31,0,11,0,6,2,0,7982411.73,9282.88,0.154,684505.17,46011.89,2.679,0.081,3,0.386,0.655,0.505,2,0.104,12.932,5,1,1,1,0,16245.63
Atlas Grid,Climate,Seed,UK,Operator,0.565,0.782,0.489,0.592,0.242,49,0,9,1,19,15,2,25949606.77,3903.82,0.304,1197006.58,122071.58,8.563,0.19,3,0.367,0.342,0.136,3,0.482,21.129,15,0,0,1,0,4454.85
Hyper Pulse,DevTools,Seed,EU,Operator,0.587,0.917,0.437,0.542,0.366,36,0,7,1,28,14,2,21474585.74,13778.03,-0.092,763771.29,49799.04,20.0,0.192,2,0.611,0.548,0.026,5,0.442,9.877,15,0,0,1,0,24937.72
Nimbus Forge,AI/ML,Seed,UK,Visionary,0.838,0.634,0.605,0.479,0.406,32,0,14,0,26,8,0,22155451.43,11666.53,0.243,403825.7,119148.63,3.508,0.085,0,0.821,0.422,0.7,2,0.542,13.661,8,1,0,1,0,13196.23
Vertex Forge,Bio/Health,Seed,India,Visionary,0.757,0.583,0.666,0.537,0.444,40,0,15,0,31,9,1,1677009.23,13289.81,0.285,555548.87,74748.12,1.645,0.212,2,0.209,0.337,0.0,2,0.399,21.191,20,1,1,0,1,170042.89
Flow OS,DevTools,Pre-Seed,US,Engineer,0.575,0.727,0.306,0.51,0.403,36,0,3,1,16,14,0,14899884.93,0.0,0.272,232644.98,48712.93,20.0,0.143,2,0.961,0.357,0.696,3,0.0,2.845,20,1,0,1,0,0.0
Nova Systems,SaaS,Seed,US,Visionary,0.75,0.483,0.718,0.483,0.451,36,0,10,1,36,15,0,3983769.69,7469.74,0.412,398596.07,72715.52,1.97,0.138,4,0.655,0.261,0.464,2,0.406,10.54,25,1,0,1,0,15100.73
Vertex Analytics,Bio/Health,Seed,MENA,Engineer,0.598,0.744,0.277,0.487,0.534,38,0,8,1,32,2,2,80013492.66,772.68,0.216,328053.63,40722.05,20.0,0.036,8,0.511,0.077,0.835,3,0.209,13.139,10,0,0,1,0,991.73
Eco Dynamics,Hardware,Seed,US,Visionary,0.664,0.508,0.509,0.616,0.51,45,0,9,1,22,9,2,16022706.71,0.0,0.128,335417.88,91995.43,20.0,0.149,5,0.172,0.116,0.04,3,0.353,10.426,17,0,0,1,0,0.0
Nova Grid,AI/ML,Seed,US,Visionary,0.751,0.457,0.713,0.343,0.355,41,0,19,1,17,11,1,96636414.92,16079.93,0.132,351696.73,125607.59,4.942,0.105,3,0.482,0.459,0.585,3,0.607,29.64,12,0,0,1,0,21045.97
Polar Stack,Hardware,Pre-Seed,US,Engineer,0.741,0.714,0.196,0.323,0.407,33,1,6,0,17,2,1,22946495.14,5630.79,0.104,654639.32,63794.23,9.095,0.197,3,0.602,0.236,0.707,1,0.261,13.918,3,1,1,1,0,44021.2
Terra Grid,Climate,Seed,EU,Salesperson,0.426,0.441,0.833,0.564,0.526,37,0,16,1,30,16,0,17611241.12,24894.43,0.296,478313.67,63324.89,0.716,0.118,3,0.586,0.022,0.934,4,0.555,9.608,37,1,0,0,1,536923.33
Spark Labs,SaaS,Pre-Seed,UK,Salesperson,0.421,0.562,0.887,0.695,0.313,42,0,10,0,5,5,0,21128507.04,29302.25,0.043,318644.56,42900.18,2.812,0.097,4,0.187,0.607,0.0,2,0.269,26.202,3,0,1,1,0,32138.66
Urban Pulse,AI/ML,Seed,SEA,Visionary,0.947,0.63,0.738,0.494,0.506,41,0,7,1,34,7,1,13706893.37,17067.12,0.111,191890.37,53176.94,2.339,0.203,3,0.438,0.306,0.079,3,0.186,19.093,7,0,0,1,0,22100.11
Nimbus Works,SaaS,Seed,India,Engineer,0.635,0.731,0.365,0.449,0.27,29,0,11,1,43,9,1,8862917.0,26213.06,-0.007,249597.54,59949.21,20.0,0.122,2,0.324,0.407,0.665,4,0.422,10.208,20,0,0,1,0,40404.42
Aero Bio,Hardware,Seed,SEA,Visionary,0.817,0.526,0.692,0.503,0.472,39,0,14,1,18,10,2,4218394.57,0.0,0.081,613003.72,64042.3,20.0,0.162,2,0.529,0.041,0.433,3,0.568,10.438,22,0,0,1,0,0.0
Terra AI,Fintech,Seed,US,Visionary,0.838,0.586,0.418,0.387,0.389,33,0,12,1,37,11,1,5923002.18,28815.03,0.071,321628.96,96049.36,3.906,0.02,3,0.695,0.051,0.107,3,0.446,7.563,22,0,0,1,0,42118.18
Quantum Cloud,SaaS,Pre-Seed,EU,Engineer,0.686,0.793,0.304,0.414,0.448,42,0,6,0,18,13,0,3354203.14,8302.62,0.134,233300.8,52010.12,3.908,0.189,2,0.21,0.186,0.599,3,0.435,13.68,21,1,0,0,1,140755.08
Nimbus Logic,SaaS,Seed,EU,Engineer,0.692,0.573,0.526,0.376,0.506,31,0,19,1,22,17,3,20643458.35,36529.75,0.35,2200900.99,65357.33,0.426,0.23,5,0.693,0.584,0.424,2,0.212,5.79,28,0,0,1,0,138269.99
Polar Stack,SaaS,Pre-Seed,US,Visionary,0.748,0.539,0.624,0.543,0.463,34,0,14,1,2,5,1,8147444.11,8651.36,0.196,63864.69,53916.08,2.649,0.248,5,0.385,0.27,0.154,2,0.357,18.192,27,1,0,0,1,89940.89
Urban Dynamics,AI/ML,Seed,SEA,Salesperson,0.584,0.732,0.839,0.507,0.333,20,0,15,1,47,9,2,6074421.24,18829.18,0.201,212537.55,39328.4,0.867,0.156,2,0.248,0.115,0.13,1,0.5,17.239,25,1,0,0,1,527065.97
Sigma AI,Climate,Pre-Seed,UK,Visionary,0.883,0.513,0.747,0.643,0.487,38,0,10,0,4,4,1,11887709.71,9753.1,0.277,383420.88,6277.09,0.193,0.157,5,0.508,0.035,0.684,1,0.013,10.737,8,1,0,1,0,46103.03
Quantum Logic,Fintech,Seed,MENA,Operator,0.458,0.778,0.563,0.579,0.532,43,0,12,0,26,5,2,11094108.15,35727.73,0.11,355940.94,117714.77,2.491,0.03,1,0.504,0.242,0.475,2,0.318,10.46,1,1,0,1,0,88798.14
Eco Drive,SaaS,Seed,EU,Operator,0.447,0.681,0.469,0.648,0.45,24,0,5,1,37,9,1,9116830.72,24092.51,0.296,275081.81,67766.35,0.791,0.208,4,0.308,0.034,0.52,4,0.415,8.038,12,0,0,1,0,35560.25
Zen Stack,Fintech,Pre-Seed,UK,Visionary,0.898,0.441,0.649,0.41,0.48,36,0,8,0,1,3,1,20614386.51,41618.82,0.15,53240.67,63712.29,0.853,0.17,5,0.551,0.157,0.5,1,0.418,8.3,7,1,1,0,1,310477.47
Terra Works,DevTools,Pre-Seed,UK,Operator,0.544,0.72,0.496,0.614,0.335,40,0,8,1,30,12,0,12503064.71,4562.18,0.238,171366.0,18410.48,1.411,0.148,1,0.512,0.437,0.556,1,0.688,15.015,16,1,1,0,1,240902.3
Quantum Works,AI/ML,Seed,US,Salesperson,0.704,0.53,0.671,0.607,0.424,41,3,14,1,28,5,1,10665728.02,39578.03,0.055,808575.54,119235.8,4.585,0.174,1,0.593,0.238,0.354,3,0.173,11.856,12,1,0,1,0,149938.12
Nova Systems,Climate,Seed,UK,Salesperson,0.539,0.573,0.854,0.562,0.382,33,0,8,1,7,13,1,23396684.02,0.0,0.26,2899411.65,44684.14,20.0,0.037,4,0.542,0.313,0.666,4,0.5,17.739,13,0,0,1,0,0.0
Nimbus Pulse,AI/ML,Seed,SEA,Engineer,0.645,0.644,0.37,0.64,0.486,27,0,15,1,43,6,3,28543105.13,34867.9,0.159,274653.28,82839.52,1.243,0.185,3,0.683,0.169,0.558,2,0.551,34.24,8,0,0,1,0,422314.61
Vertex OS,SaaS,Seed,EU,Engineer,0.618,0.64,0.345,0.5,0.315,36,0,12,1,30,11,2,94775692.57,26593.62,0.183,257143.89,38660.17,0.664,0.227,6,0.485,0.376,0.429,4,0.151,8.871,10,1,0,1,0,398955.57
Eco AI,Fintech,Pre-Seed,UK,Visionary,0.746,0.565,0.721,0.615,0.493,40,0,14,1,18,13,0,15422775.9,24232.38,0.076,157685.57,40984.07,1.862,0.072,4,0.533,0.166,0.848,2,0.295,13.59,24,1,0,0,1,260334.24
Atlas Stack,DevTools,Pre-Seed,SEA,Engineer,0.699,0.577,0.316,0.504,0.396,32,0,14,1,11,5,1,22144178.19,1162.97,0.076,169052.71,67477.31,20.0,0.203,5,0.44,0.246,0.524,3,0.289,5.783,8,1,0,1,0,3185.37
Atlas Drive,AI/ML,Seed,EU,Visionary,0.628,0.54,0.602,0.554,0.321,23,0,4,0,19,8,2,54712584.16,0.0,0.195,765762.37,81239.69,20.0,0.135,2,0.636,0.027,0.527,2,0.224,7.17,14,0,0,1,0,0.0
Terra Stack,Bio/Health,Seed,EU,Visionary,0.667,0.51,0.589,0.41,0.512,26,0,11,0,24,14,1,12712121.88,214.33,0.218,893458.75,122445.49,20.0,0.388,8,0.463,0.054,0.34,2,0.298,12.926,11,0,0,1,0,426.63
Atlas OS,DevTools,Seed,UK,Operator,0.485,0.73,0.566,0.464,0.346,40,0,11,1,37,3,2,55776213.25,5792.55,0.165,783450.5,35495.35,3.086,0.096,2,0.678,0.399,0.449,1,0.484,6.332,8,1,0,1,0,263760.83
Atlas Works,DevTools,Seed,US,Visionary,0.832,0.452,0.733,0.389,0.322,36,0,10,1,31,6,1,45929442.76,37028.86,-0.168,854776.42,81866.41,20.0,0.191,3,0.379,0.245,0.314,3,0.426,9.87,5,0,0,1,0,45698.12
Vertex Stack,SaaS,Pre-Seed,SEA,Engineer,0.514,0.718,0.344,0.331,0.426,33,0,10,1,4,8,1,23252230.71,34296.19,-0.087,228892.44,66667.49,20.0,0.257,1,0.591,0.539,0.461,2,0.443,16.726,17,1,0,0,1,255114.22
Aero Works,Fintech,Pre-Seed,EU,Operator,0.57,0.769,0.557,0.498,0.238,25,0,15,1,23,8,1,3394979.61,0.0,0.215,304038.36,24366.67,20.0,0.061,7,0.573,0.564,0.278,2,0.372,5.551,10,1,0,1,0,0.0
Flow Pulse,AI/ML,Pre-Seed,EU,Visionary,0.626,0.495,0.675,0.626,0.609,33,0,13,1,29,10,0,11716356.76,30564.45,-0.038,111889.37,12170.43,20.0,0.147,0,0.688,0.266,0.753,2,0.039,10.492,21,0,0,1,0,84318.18
