company,sector,stage_at_observation,location,ceo_personality,team_openness_mean,team_conscientiousness_mean,team_extraversion_mean,team_agreeableness_mean,team_neuroticism_mean,founder_age,founder_prev_exits,founder_experience_years_pre,founder_tech_background,pre_series_a_months_since_founded,pre_series_a_team_size,pre_series_a_release_freq,market_size_usd,pre_series_a_mrr_usd,pre_series_a_growth_3m,pre_series_a_prior_funding_usd,pre_series_a_burn_usd,burn_multiple,pipeline_conversion_rate,competition_density,sector_trend_score_at_investment,buzzword_density,prior_investor_reputation,syndicate_size,prior_investor_followon_rate,pre_series_a_val_rev_ratio,current_employee_count,raised_series_a_36m,exited_36m,shutdown_36m,success_36m,mrr_peak_usd_36m
Vertex Labs,SaaS,Pre-Seed,India,Operator,0.479,0.577,0.45,0.457,0.579,32,0,11,1,16,6,1,20084765.96,2269.44,0.239,130486.6,67996.68,10.445,0.188,2,0.459,0.205,0.034,1,0.165,5.77,13,0,0,1,0,2514.84
Spark Dynamics,Climate,Seed,EU,Visionary,0.573,0.467,0.718,0.492,0.541,28,0,9,0,32,11,1,10505115.14,10793.47,0.008,351186.27,78326.15,20.0,0.149,2,0.458,0.206,0.643,1,0.199,8.868,16,1,0,1,0,29834.47
Eco AI,AI/ML,Seed,US,Operator,0.533,0.643,0.619,0.565,0.446,39,0,10,1,30,16,2,42211161.57,24681.83,0.08,511282.35,84129.12,3.544,0.07,4,0.476,0.195,0.756,2,0.516,16.963,35,1,0,0,1,840505.93
Nova Bio,Fintech,Pre-Seed,LatAm,Operator,0.508,0.742,0.561,0.491,0.403,33,0,2,0,15,9,0,4960774.94,13441.52,0.113,275024.61,61802.75,3.385,0.092,4,0.486,0.155,0.677,1,0.472,5.698,27,1,1,0,1,167282.93
Eco Grid,DevTools,Seed,SEA,Operator,0.53,0.74,0.389,0.752,0.391,44,0,6,1,30,26,1,3951878.34,12794.61,0.203,2046386.86,98332.61,3.162,0.104,3,0.576,0.295,0.39,1,0.465,12.621,29,1,0,0,1,334622.12
Aero Stack,Fintech,Pre-Seed,UK,Salesperson,0.51,0.645,0.813,0.655,0.373,21,0,14,1,26,5,0,11322679.17,52688.72,0.164,257769.82,93209.36,0.898,0.146,7,0.715,0.236,0.437,1,0.461,12.212,4,1,0,1,0,282439.74
Terra Pulse,Bio/Health,Pre-Seed,UK,Operator,0.517,0.815,0.56,0.706,0.453,20,0,7,1,17,6,0,45547927.88,7691.96,0.216,114515.26,45852.25,2.297,0.26,2,0.708,0.51,0.518,1,0.248,5.676,12,0,0,1,0,9560.36
Nova Stack,SaaS,Pre-Seed,EU,Engineer,0.658,0.683,0.477,0.46,0.273,28,0,3,1,21,2,1,17768668.45,4241.19,0.148,232478.8,25887.34,3.446,0.131,6,0.461,0.508,0.797,1,0.082,11.693,11,1,0,0,1,108349.49
Hyper Bio,SaaS,Seed,US,Visionary,0.868,0.473,0.682,0.517,0.444,35,2,14,0,28,13,2,7636346.38,3541.8,0.143,425161.28,63746.41,10.469,0.119,4,0.538,0.055,0.861,4,0.503,4.079,20,1,1,0,1,77652.23
Nova Analytics,Bio/Health,Pre-Seed,UK,Engineer,0.704,0.772,0.464,0.54,0.305,27,0,9,1,16,10,1,13379180.43,0.0,0.059,40178.1,35861.81,20.0,0.292,3,0.52,0.222,0.369,1,0.028,5.236,12,0,0,1,0,0.0
Urban AI,AI/ML,Pre-Seed,SEA,Salesperson,0.523,0.537,0.774,0.547,0.301,28,0,8,1,26,3,1,15340067.34,13447.2,0.299,59017.52,105998.93,2.195,0.258,1,0.496,0.167,0.094,1,0.387,20.236,8,0,0,1,0,15596.82
Nova Dynamics,Hardware,Pre-Seed,India,Operator,0.468,0.621,0.547,0.448,0.379,33,0,11,0,16,8,1,9917626.88,8828.12,0.162,211822.98,38214.32,2.223,0.118,2,0.545,0.306,0.814,2,0.52,6.87,1,1,0,1,0,26578.05
Atlas Systems,Hardware,Pre-Seed,Africa,Engineer,0.502,0.653,0.364,0.405,0.467,33,0,10,1,14,8,1,25991915.71,1880.28,0.258,268632.78,72781.36,12.511,0.044,9,0.216,0.341,0.799,2,0.385,14.025,13,1,1,1,0,11476.07
Hyper Drive,Fintech,Seed,US,Engineer,0.645,0.679,0.304,0.519,0.387,28,0,14,0,29,8,1,11687934.04,1867.71,0.266,378075.37,81945.61,13.728,0.057,2,0.45,0.167,0.511,4,0.077,7.147,9,0,0,1,0,2068.93
Atlas Logic,Climate,Seed,US,Engineer,0.675,0.632,0.26,0.593,0.415,35,0,15,0,9,15,1,12997384.47,8891.43,0.0,353791.53,41563.02,20.0,0.145,2,0.558,0.092,0.476,5,0.309,12.293,24,1,1,0,1,177447.44
Nova Systems,Fintech,Seed,US,Visionary,0.812,0.592,0.537,0.568,0.477,29,0,11,0,33,8,1,15102144.84,22484.1,0.235,391756.5,109252.99,1.72,0.016,5,0.326,0.348,0.602,3,0.447,12.676,16,0,0,1,0,29595.17
Spark Forge,DevTools,Seed,US,Engineer,0.646,0.494,0.356,0.447,0.296,34,0,7,0,31,2,1,5408563.54,24004.22,0.441,193090.46,111126.25,0.875,0.156,4,0.649,0.186,0.425,5,0.554,10.042,3,0,0,1,0,30120.66
Nimbus Pulse,DevTools,Seed,EU,Operator,0.702,0.796,0.505,0.603,0.447,31,0,7,1,22,3,1,12192212.2,24844.03,0.435,321640.7,52358.19,0.403,0.124,4,0.524,0.704,0.306,1,0.627,18.535,5,0,0,1,0,27331.42
Sigma Pulse,AI/ML,Seed,EU,Operator,0.484,0.743,0.461,0.51,0.36,27,0,9,1,18,7,2,10215148.62,27723.3,0.245,482383.66,149595.39,1.833,0.01,2,0.533,0.55,0.43,4,0.398,16.696,27,1,0,0,1,1462065.12
Vertex Analytics,SaaS,Pre-Seed,EU,Salesperson,0.743,0.474,0.775,0.742,0.328,45,0,11,0,18,2,1,11497469.02,3745.61,0.086,156094.66,37218.16,9.605,0.244,4,0.56,0.061,0.554,1,0.374,12.998,5,1,0,1,0,7015.09
Polar Dynamics,DevTools,Seed,US,Operator,0.586,0.744,0.503,0.562,0.519,37,1,13,1,45,15,2,39059698.23,33987.39,0.168,403630.78,59351.97,0.868,0.165,2,0.622,0.029,0.564,3,0.507,10.18,15,0,0,1,0,102732.98
Vertex Analytics,Climate,Pre-Seed,EU,Engineer,0.758,0.541,0.375,0.476,0.362,40,0,5,1,20,2,0,24299448.14,1639.87,-0.088,91370.92,52711.95,20.0,0.035,0,0.408,0.002,0.497,1,0.266,8.91,1,0,0,1,0,2380.43
Vertex Bio,SaaS,Seed,UK,Operator,0.543,0.859,0.518,0.618,0.306,32,1,10,1,35,14,1,14396985.86,17224.11,0.207,381913.8,113076.94,2.638,0.185,3,0.626,0.053,0.612,2,0.458,5.053,19,0,0,1,0,47646.95
Sigma AI,Climate,Pre-Seed,EU,Visionary,0.711,0.655,0.545,0.381,0.415,36,0,7,0,16,2,0,50148205.94,4793.5,0.427,142188.32,84794.66,3.449,0.252,4,0.649,0.163,0.286,1,0.352,16.528,9,1,1,1,0,41870.96
Zen Grid,AI/ML,Seed,US,Engineer,0.614,0.701,0.297,0.523,0.249,31,0,9,1,30,8,2,3999156.63,13372.07,0.286,776573.27,58998.42,1.286,0.134,4,0.581,0.095,0.305,1,0.416,8.247,5,0,0,1,0,71797.19
Eco Analytics,SaaS,Seed,SEA,Engineer,0.572,0.706,0.37,0.588,0.301,32,0,10,0,33,2,2,19525685.78,28567.47,0.153,260315.34,106708.72,2.037,0.189,1,0.434,0.108,0.28,1,0.405,13.615,32,1,0,0,1,373260.31
Sigma Works,Climate,Pre-Seed,LatAm,Engineer,0.597,0.591,0.458,0.396,0.477,27,0,11,0,1,7,0,6199507.03,0.0,0.166,109176.54,39299.59,20.0,0.114,0,0.442,0.2,0.0,1,0.393,5.971,17,0,1,1,0,0.0
Vertex OS,Fintech,Pre-Seed,SEA,Operator,0.615,0.731,0.468,0.485,0.479,27,0,15,0,19,2,0,19365244.3,0.0,-0.158,95785.04,26141.14,20.0,0.173,4,0.488,0.578,0.306,1,0.341,5.435,6,1,0,1,0,0.0
Nova Bio,DevTools,Pre-Seed,US,Engineer,0.62,0.733,0.556,0.403,0.413,43,0,8,0,22,9,0,3476921.92,13618.05,0.128,209576.41,36277.99,1.74,0.062,4,0.662,0.187,0.335,3,0.202,12.466,13,0,0,1,0,15071.14
Nova Stack,Hardware,Pre-Seed,EU,Engineer,0.68,0.655,0.394,0.416,0.47,38,0,12,0,10,4,2,3563732.28,5734.32,0.096,206005.14,43179.13,6.544,0.04,2,0.415,0.398,0.378,2,0.151,24.381,26,1,0,0,1,133243.53
Vertex Works,Bio/Health,Pre-Seed,Africa,Visionary,0.804,0.691,0.599,0.569,0.508,27,0,4,0,15,2,2,9705280.46,0.0,0.099,214439.71,41743.68,20.0,0.077,3,0.638,0.438,0.436,1,0.268,6.11,16,0,0,1,0,0.0
Nimbus Bio,Bio/Health,Seed,SEA,Visionary,0.835,0.525,0.86,0.488,0.384,41,0,17,1,19,8,0,15396754.03,16489.9,0.322,358406.92,109219.12,1.715,0.166,4,0.535,0.077,0.162,3,0.537,10.298,29,1,1,0,1,475782.33
Spark Grid,Bio/Health,Pre-Seed,US,Visionary,0.734,0.487,0.714,0.52,0.552,31,0,5,0,7,2,1,10255220.28,11661.43,0.16,63581.26,26093.97,1.163,0.074,2,0.247,0.025,0.487,2,0.0,3.875,11,1,1,0,1,73176.73
Polar Logic,AI/ML,Seed,India,Engineer,0.644,0.703,0.344,0.535,0.51,30,1,10,0,26,9,2,4717516.99,0.0,0.021,529129.33,67968.8,20.0,0.057,3,0.61,0.325,0.913,4,0.583,7.313,10,0,0,1,0,0.0
Urban Pulse,Fintech,Seed,US,Engineer,0.582,0.647,0.566,0.571,0.429,24,0,13,1,18,8,0,8570884.74,13345.57,-0.011,305427.86,65603.79,20.0,0.02,4,0.381,0.025,0.594,3,0.123,10.778,8,0,0,1,0,13345.57
Nova Grid,AI/ML,Seed,India,Engineer,0.589,0.693,0.403,0.44,0.407,35,0,13,0,34,12,1,21138699.78,9779.62,0.032,452154.67,114139.79,20.0,0.119,2,0.699,0.182,0.378,3,0.2,9.292,11,1,0,1,0,12263.52
Sigma Forge,Hardware,Seed,US,Salesperson,0.756,0.574,0.773,0.525,0.382,34,0,5,1,23,6,2,23065216.75,4352.77,0.044,621228.77,111307.2,20.0,0.124,1,0.291,0.036,0.628,2,0.719,12.212,9,0,0,1,0,4528.08
Vertex Drive,Bio/Health,Seed,SEA,Engineer,0.671,0.682,0.361,0.602,0.372,38,0,18,0,28,14,1,19142552.75,7925.84,0.244,181447.13,82119.59,3.535,0.117,2,0.437,0.014,0.5,4,0.687,16.573,22,1,0,1,0,66114.53
Flow Cloud,Fintech,Seed,UK,Salesperson,0.585,0.498,0.617,0.658,0.431,38,0,14,1,43,11,1,1417415.04,0.0,-0.019,436315.8,62132.85,20.0,0.113,3,0.37,0.076,0.5,3,0.562,16.628,27,0,0,1,0,0.0
Quantum Bio,Hardware,Pre-Seed,EU,Visionary,0.774,0.66,0.597,0.367,0.469,33,0,10,1,10,4,2,8481927.51,9126.31,0.01,135382.66,9283.94,8.251,0.238,6,0.788,0.169,0.6,2,0.3,32.972,7,1,0,1,0,22255.74
Atlas Logic,DevTools,Pre-Seed,US,Operator,0.519,0.687,0.544,0.527,0.346,26,0,9,0,17,6,1,7662946.51,0.0,0.033,61819.02,27810.45,20.0,0.01,5,0.781,0.483,0.349,1,0.58,9.759,4,0,0,1,0,0.0
Terra Grid,Bio/Health,Seed,US,Visionary,0.825,0.473,0.572,0.522,0.365,29,0,12,0,9,10,2,7302905.5,0.0,0.022,640677.99,95479.89,20.0,0.01,1,0.603,0.041,0.484,3,0.416,17.921,10,0,0,1,0,0.0
Urban Analytics,Bio/Health,Seed,EU,Visionary,0.773,0.592,0.698,0.565,0.403,40,0,18,0,29,15,2,17405557.62,35029.83,0.045,648278.41,43194.1,2.29,0.065,4,0.395,0.358,0.748,3,0.58,8.586,9,1,0,1,0,87005.14
Vertex Stack,Climate,Pre-Seed,EU,Operator,0.492,0.767,0.462,0.423,0.361,35,0,10,1,27,4,0,27561717.73,0.0,-0.109,128210.81,92348.68,20.0,0.191,0,0.509,0.202,0.726,3,0.271,10.737,1,0,0,1,0,0.0
Zen Logic,Hardware,Pre-Seed,India,Visionary,0.822,0.348,0.871,0.441,0.48,45,0,9,0,22,3,2,36647556.98,6234.19,0.353,286367.03,39978.75,1.514,0.125,3,0.564,0.11,0.443,2,0.181,2.818,14,1,0,1,0,120450.97
Eco AI,Bio/Health,Seed,EU,Visionary,0.748,0.395,0.712,0.683,0.371,37,0,12,0,34,8,1,49459301.59,9868.81,0.145,610249.09,26078.8,1.519,0.196,3,0.61,0.008,0.434,1,0.295,11.773,25,1,1,0,1,174516.97
Polar Analytics,SaaS,Seed,UK,Salesperson,0.631,0.544,0.66,0.691,0.47,35,0,8,1,28,11,1,22499432.4,25229.35,-0.015,569126.44,65288.43,20.0,0.242,5,0.537,0.205,0.0,3,0.358,10.809,12,0,1,1,0,43725.51
Sigma Analytics,Fintech,Seed,EU,Visionary,0.847,0.448,0.674,0.486,0.509,32,0,10,1,19,10,2,10998202.32,6803.69,0.145,117447.86,73945.41,6.25,0.09,0,0.272,0.028,0.319,4,0.527,11.322,20,1,1,0,1,197601.98
Urban Pulse,Bio/Health,Pre-Seed,EU,Visionary,0.669,0.54,0.669,0.455,0.36,27,0,11,1,8,7,0,24731865.54,30420.29,0.062,169808.35,71077.9,3.144,0.082,4,0.29,0.161,0.815,1,0.486,10.442,29,1,0,0,1,115115.31
Urban Dynamics,Bio/Health,Pre-Seed,US,Salesperson,0.511,0.571,0.764,0.61,0.529,35,0,13,0,22,7,2,11821961.63,13263.63,-0.101,149317.45,79044.58,20.0,0.197,2,0.452,0.268,0.454,1,0.315,17.352,4,0,0,1,0,17845.14
Zen Drive,SaaS,Seed,EU,Visionary,0.794,0.552,0.575,0.479,0.49,31,1,14,1,29,2,1,9700087.91,28615.22,0.083,576853.3,67797.52,2.384,0.241,2,0.298,0.316,0.59,3,0.233,7.693,2,0,0,1,0,45249.51
Urban Dynamics,Climate,Seed,US,Operator,0.669,0.781,0.512,0.432,0.405,37,0,13,0,33,20,2,13665758.0,0.0,0.295,679989.02,82306.54,20.0,0.094,2,0.522,0.319,0.329,2,0.011,7.067,22,1,0,1,0,0.0
Terra OS,SaaS,Seed,US,Salesperson,0.497,0.465,0.846,0.522,0.454,28,0,9,1,30,19,2,9928504.63,9179.13,0.176,798263.11,100851.93,5.216,0.282,1,0.195,0.072,0.416,3,0.1,10.769,25,0,0,1,0,22704.53
Sigma Stack,Fintech,Seed,UK,Operator,0.524,0.688,0.575,0.556,0.425,35,0,15,0,25,8,1,7724946.44,25134.57,0.282,1001631.49,72001.19,0.848,0.308,2,0.455,0.009,0.587,2,0.351,3.958,21,1,1,1,0,101774.68
Nova Logic,Hardware,Seed,LatAm,Operator,0.486,0.78,0.416,0.543,0.48,27,0,16,1,33,14,0,3052334.8,0.0,0.107,1237913.98,33511.0,20.0,0.01,6,0.453,0.05,0.803,5,0.572,15.134,16,0,0,1,0,0.0
Eco Stack,Hardware,Seed,US,Operator,0.572,0.856,0.416,0.56,0.35,33,0,12,0,33,4,2,12722697.71,3485.17,0.129,520470.86,126665.76,20.0,0.141,4,0.68,0.066,0.474,4,0.499,10.829,15,1,0,1,0,10424.97
Nimbus Bio,Hardware,Seed,US,Operator,0.561,0.822,0.356,0.631,0.438,43,0,14,1,22,6,1,17677320.23,8646.13,0.24,715840.56,104471.68,4.188,0.316,5,0.385,0.226,0.419,4,0.458,15.785,10,0,0,1,0,18673.84
Quantum Forge,SaaS,Pre-Seed,India,Operator,0.52,0.823,0.509,0.585,0.426,33,0,10,1,9,2,1,5212333.43,29909.01,0.241,242944.92,82765.92,0.958,0.16,5,0.344,0.265,0.445,2,0.027,10.258,11,1,0,1,0,195352.23
Flow Logic,AI/ML,Pre-Seed,India,Visionary,0.838,0.335,0.663,0.487,0.431,35,0,12,1,7,6,1,5999088.94,8588.85,-0.044,86851.67,39920.32,20.0,0.143,3,0.312,0.45,0.0,2,0.684,4.85,16,1,0,0,1,43649.56
Sigma Systems,SaaS,Pre-Seed,EU,Engineer,0.554,0.662,0.447,0.341,0.418,42,0,6,1,32,5,0,25049741.49,8616.48,0.048,472433.39,65560.62,13.313,0.094,3,0.213,0.164,0.336,2,0.254,4.182,1,0,0,1,0,9447.83
Aero Pulse,SaaS,Seed,EU,Operator,0.566,0.776,0.611,0.725,0.491,37,0,7,1,39,13,1,20952198.91,20511.91,0.057,447527.97,19510.15,1.4,0.202,3,0.392,0.508,0.186,3,0.317,10.15,19,1,0,1,0,50103.73
Flow Drive,SaaS,Seed,UK,Visionary,0.83,0.501,0.82,0.587,0.442,37,0,6,0,29,20,2,18041489.25,21945.99,0.192,407000.97,59168.16,1.171,0.15,4,0.467,0.776,0.647,2,0.463,3.874,41,1,1,0,1,749618.81
Zen Cloud,SaaS,Pre-Seed,US,Visionary,0.706,0.575,0.719,0.386,0.467,38,0,12,1,19,5,0,18635803.29,28474.92,-0.048,75109.61,47036.38,20.0,0.183,4,0.441,0.09,0.678,1,0.0,9.65,1,1,1,1,0,48951.11
Aero Stack,DevTools,Seed,Africa,Salesperson,0.744,0.578,0.765,0.528,0.37,38,0,13,0,34,5,1,7986406.95,37509.53,0.103,565812.62,77746.6,1.677,0.258,6,0.51,0.431,0.518,3,0.488,6.901,13,0,0,1,0,79039.95
Nimbus Bio,Climate,Seed,MENA,Visionary,0.841,0.368,0.612,0.495,0.417,37,0,5,1,6,5,2,16163879.72,14185.94,0.339,212258.77,44156.18,0.764,0.117,1,0.796,0.218,0.034,3,0.334,13.735,34,1,1,0,1,617337.15
Atlas Logic,Bio/Health,Seed,EU,Engineer,0.479,0.722,0.369,0.401,0.417,27,0,13,0,9,11,2,5020917.9,7609.82,0.205,656702.44,109266.78,5.846,0.071,5,0.59,0.016,0.502,3,0.278,6.979,12,1,0,1,0,16558.31
Eco OS,Climate,Pre-Seed,India,Engineer,0.704,0.523,0.275,0.449,0.312,29,0,12,0,15,10,0,15699435.28,2395.14,0.047,486822.45,60100.6,20.0,0.26,1,0.428,0.004,0.534,1,0.537,10.104,24,1,0,0,1,17249.07
Flow Analytics,Fintech,Pre-Seed,LatAm,Operator,0.599,0.671,0.616,0.689,0.473,44,0,7,1,16,6,2,7218459.48,30047.08,0.087,485501.31,8215.68,0.263,0.232,8,0.583,0.347,0.484,2,0.146,8.3,15,1,1,0,1,552131.76
Quantum OS,Hardware,Seed,India,Engineer,0.593,0.565,0.498,0.552,0.339,41,0,14,1,23,18,0,9750683.18,6562.51,-0.124,985366.56,33398.38,20.0,0.165,0,0.322,0.22,0.409,3,0.31,6.796,28,1,1,0,1,33860.09
Atlas Stack,DevTools,Pre-Seed,US,Operator,0.623,0.782,0.527,0.493,0.381,26,0,11,0,8,12,0,22766476.72,14410.5,0.153,95854.62,56445.0,2.132,0.142,4,0.555,0.061,0.251,1,0.633,3.604,24,0,0,1,0,14410.5
Eco Pulse,SaaS,Pre-Seed,UK,Visionary,0.768,0.507,0.668,0.468,0.603,33,0,11,0,31,2,1,3079193.83,31664.6,0.125,156922.59,16810.0,0.354,0.093,2,0.564,0.228,0.399,1,0.164,7.396,18,1,1,0,1,278016.32
Terra Stack,AI/ML,Seed,UK,Engineer,0.628,0.765,0.394,0.666,0.409,26,0,17,1,37,5,2,46753188.86,20381.15,0.411,621815.46,36593.02,0.364,0.203,1,0.336,0.246,0.111,3,0.296,4.869,19,1,1,0,1,1339557.75
Polar OS,Fintech,Seed,UK,Engineer,0.583,0.536,0.374,0.53,0.392,41,0,11,0,24,17,2,48905250.48,18833.12,0.071,681638.52,75415.88,4.714,0.051,4,0.343,0.169,0.457,3,0.376,20.019,21,0,0,1,0,18833.12
Terra Systems,Bio/Health,Seed,UK,Visionary,0.831,0.414,0.707,0.577,0.595,32,0,4,0,29,6,1,5990570.91,7324.02,0.054,1105269.4,51864.07,10.867,0.158,0,0.481,0.274,0.357,1,0.503,10.721,11,0,0,1,0,10061.69
Quantum Pulse,Climate,Seed,SEA,Visionary,0.806,0.402,0.742,0.548,0.293,34,0,9,1,27,5,1,29653257.0,11039.79,0.249,246579.96,28505.99,0.866,0.197,1,0.749,0.234,0.536,2,0.433,12.761,22,1,0,0,1,464764.19
Nimbus Bio,Fintech,Pre-Seed,US,Operator,0.581,0.716,0.476,0.669,0.411,34,0,17,0,20,5,1,13088484.55,10730.59,0.23,230517.77,37975.03,1.284,0.09,3,0.457,0.126,0.533,2,0.188,9.316,10,1,0,1,0,58062.44
Spark Works,Hardware,Seed,US,Visionary,0.843,0.594,0.657,0.411,0.329,37,0,13,0,17,7,1,10851889.74,0.0,-0.148,263380.2,71655.43,20.0,0.265,1,0.418,0.342,0.156,3,0.292,10.158,7,1,0,1,0,0.0
Zen Pulse,SaaS,Seed,India,Salesperson,0.433,0.361,0.987,0.575,0.398,35,0,11,1,30,6,2,15157037.28,7589.28,0.287,230183.57,94788.94,3.624,0.075,10,0.674,0.294,0.358,2,0.406,5.721,9,1,0,1,0,18362.39
Quantum Cloud,AI/ML,Seed,EU,Engineer,0.647,0.594,0.261,0.503,0.412,41,0,9,1,31,9,1,22205351.85,17034.97,0.019,691417.77,65367.33,16.75,0.124,2,0.722,0.012,0.316,2,0.436,7.352,8,0,0,1,0,19903.84
Eco Analytics,Hardware,Pre-Seed,India,Salesperson,0.734,0.499,0.739,0.594,0.382,35,0,12,1,1,11,0,48432838.99,9601.79,0.067,86034.96,47358.23,6.108,0.059,2,0.217,0.229,0.539,1,0.202,13.877,17,0,0,1,0,10282.48
Atlas Systems,Bio/Health,Seed,SEA,Salesperson,0.544,0.687,0.803,0.549,0.438,37,0,10,0,39,19,2,12353540.61,5432.85,0.264,861403.28,123944.82,7.19,0.353,1,0.376,0.356,0.112,3,0.186,16.436,27,0,0,1,0,6403.92
Zen Analytics,Climate,Pre-Seed,US,Visionary,0.824,0.417,0.663,0.583,0.541,32,0,11,1,18,15,0,8950176.44,12530.36,0.146,293091.12,52585.06,2.399,0.19,3,0.673,0.406,0.125,1,0.146,5.854,22,1,1,1,0,53693.41
Aero Grid,Climate,Seed,US,Visionary,0.751,0.656,0.712,0.475,0.438,31,0,10,0,23,15,2,5275842.04,34748.49,0.185,403117.51,65324.54,0.849,0.062,3,0.621,0.08,0.528,3,0.0,9.446,22,1,0,1,0,106291.04
Nova Labs,AI/ML,Seed,US,Operator,0.658,0.869,0.597,0.554,0.248,29,0,5,0,32,3,2,10109258.56,20922.26,0.141,1095820.67,74978.8,2.115,0.09,3,0.498,0.125,0.35,2,0.517,6.826,11,1,0,1,0,92454.1
Terra Dynamics,Bio/Health,Seed,EU,Operator,0.613,0.698,0.542,0.431,0.323,48,0,9,0,26,25,2,24292194.65,7977.8,0.33,1826596.8,82462.13,2.612,0.384,6,0.531,0.058,0.685,3,0.244,16.468,26,1,0,1,0,122851.95
Nova Grid,Climate,Seed,US,Visionary,0.96,0.549,0.748,0.459,0.457,33,0,14,1,27,12,2,13798907.08,10711.2,0.358,382544.85,110227.05,2.396,0.227,5,0.545,0.425,0.4,2,0.168,10.045,28,1,0,1,0,44507.63
Terra Works,DevTools,Seed,US,Engineer,0.599,0.648,0.189,0.355,0.486,39,0,11,1,27,13,1,32323929.17,12345.22,-0.207,573092.56,100913.34,20.0,0.234,0,0.71,0.364,0.583,3,0.577,9.598,36,1,0,0,1,177436.38
Nimbus Analytics,SaaS,Pre-Seed,US,Operator,0.556,0.764,0.644,0.519,0.476,39,0,10,1,9,8,1,11816798.79,30128.41,0.19,42219.91,45697.03,0.666,0.157,7,0.261,0.268,0.17,1,0.251,3.572,23,1,0,0,1,391156.95
Zen Systems,AI/ML,Seed,EU,Operator,0.542,0.767,0.405,0.578,0.384,29,0,16,1,29,2,1,35936612.41,3751.28,0.001,159653.57,111758.54,20.0,0.01,3,0.382,0.204,0.428,4,0.324,6.335,1,1,0,1,0,13380.78
Vertex Works,DevTools,Seed,EU,Visionary,0.665,0.327,0.653,0.461,0.544,33,0,12,1,40,13,1,7905447.87,22690.84,0.093,262016.57,87329.74,3.453,0.184,4,0.67,0.163,0.242,3,0.31,13.985,9,1,0,1,0,52659.34
