company,sector,stage_at_observation,location,ceo_personality,team_openness_mean,team_conscientiousness_mean,team_extraversion_mean,team_agreeableness_mean,team_neuroticism_mean,founder_age,founder_prev_exits,founder_experience_years_pre,founder_tech_background,pre_series_a_months_since_founded,pre_series_a_team_size,pre_series_a_release_freq,market_size_usd,pre_series_a_mrr_usd,pre_series_a_growth_3m,pre_series_a_prior_funding_usd,pre_series_a_burn_usd,burn_multiple,pipeline_conversion_rate,competition_density,sector_trend_score_at_investment,buzzword_density,prior_investor_reputation,syndicate_size,prior_investor_followon_rate,pre_series_a_val_rev_ratio,current_employee_count,raised_series_a_36m,exited_36m,shutdown_36m,success_36m,mrr_peak_usd_36m
Sigma OS,SaaS,Pre-Seed,US,Operator,0.534,0.904,0.517,0.547,0.458,37,0,5,1,12,2,0,45228899.12,15499.65,0.137,239451.8,48952.03,1.918,0.185,9,0.22,0.07,0.711,1,0.164,3.236,2,1,0,1,0,26119.15
Hyper Logic,DevTools,Pre-Seed,SEA,Salesperson,0.623,0.489,0.847,0.428,0.472,35,0,11,1,15,18,0,15605348.2,17039.67,0.209,85853.73,50365.48,1.177,0.123,9,0.586,0.549,0.653,2,0.191,14.817,24,0,0,1,0,19920.99
Polar Works,Fintech,Seed,LatAm,Engineer,0.54,0.642,0.302,0.528,0.431,35,0,9,1,18,10,3,28016633.35,0.0,-0.017,481319.02,101443.7,20.0,0.136,3,0.175,0.679,0.264,1,0.54,18.549,12,0,0,1,0,0.0
Quantum Analytics,AI/ML,Seed,EU,Visionary,0.571,0.36,0.633,0.417,0.368,20,0,14,1,27,11,1,6085354.19,6271.14,0.152,658306.0,57854.17,5.051,0.154,2,0.511,0.046,0.296,2,0.573,4.379,14,0,0,1,0,16659.98
Vertex Works,Fintech,Seed,US,Visionary,0.771,0.341,0.556,0.525,0.33,26,0,11,1,23,16,3,13438690.27,4974.33,0.198,1201487.18,69947.44,5.917,0.132,2,0.486,0.392,0.516,4,0.204,6.721,22,0,0,1,0,6248.82
Nova Stack,Climate,Pre-Seed,LatAm,Visionary,0.726,0.404,0.694,0.443,0.431,36,0,6,1,10,5,1,14905349.79,6048.95,0.087,129412.5,17396.53,2.739,0.02,3,0.822,0.472,0.546,1,0.294,4.965,6,1,1,0,1,171189.17
Spark Cloud,SaaS,Pre-Seed,SEA,Salesperson,0.533,0.527,0.877,0.52,0.322,31,0,11,0,13,2,1,3651447.71,9576.62,0.297,121458.04,23439.0,0.688,0.211,5,0.708,0.589,0.57,1,0.309,8.755,2,0,0,1,0,17260.65
Polar Systems,DevTools,Seed,EU,Visionary,0.801,0.464,0.724,0.475,0.419,40,0,16,0,32,12,1,17888924.49,17825.45,0.353,327230.12,141875.9,1.877,0.177,1,0.721,0.061,0.348,2,0.208,16.543,17,1,0,1,0,18192.12
Urban Analytics,AI/ML,Seed,US,Operator,0.468,0.709,0.559,0.595,0.353,28,0,11,0,41,7,1,36255827.88,19806.05,-0.092,653810.42,22456.05,20.0,0.197,4,0.594,0.252,0.287,3,0.504,13.135,7,1,0,0,1,81980.66
Eco Systems,Bio/Health,Seed,LatAm,Engineer,0.656,0.607,0.419,0.393,0.565,27,0,6,1,20,12,2,15652984.98,13452.26,0.004,229761.59,70457.23,20.0,0.175,3,0.476,0.615,1.0,4,0.613,11.694,16,0,0,1,0,54231.31
Eco Analytics,DevTools,Seed,US,Operator,0.572,0.804,0.564,0.549,0.438,34,0,9,1,27,23,2,10372666.68,25706.01,0.292,866046.99,112884.58,1.254,0.085,3,0.445,0.073,0.559,4,0.173,12.321,32,1,0,1,0,93988.62
Polar Forge,DevTools,Seed,US,Visionary,0.743,0.578,0.626,0.471,0.464,32,0,10,1,12,18,1,4104292.13,0.0,-0.19,459454.95,111662.2,20.0,0.052,3,0.548,0.338,0.569,3,0.454,18.182,21,0,0,1,0,0.0
Eco Dynamics,Hardware,Seed,US,Visionary,0.831,0.421,0.553,0.335,0.42,36,0,7,0,25,3,2,46583289.51,0.0,-0.104,66290.69,105960.27,20.0,0.209,1,0.572,0.248,0.538,2,0.372,12.567,3,1,0,1,0,0.0
Aero AI,Hardware,Pre-Seed,EU,Visionary,0.857,0.598,0.641,0.518,0.35,37,0,2,1,16,2,0,26122105.79,21827.56,0.141,327211.12,33656.11,0.91,0.251,4,0.468,0.372,0.668,2,0.5,9.117,2,1,1,0,1,370006.97
Spark Drive,Bio/Health,Seed,US,Visionary,0.656,0.514,0.471,0.448,0.49,22,0,21,1,23,9,0,12568745.64,4589.23,0.068,173504.63,46890.83,12.509,0.06,2,0.482,0.413,0.4,3,0.426,13.888,11,1,0,1,0,9734.42
Spark Forge,DevTools,Pre-Seed,US,Visionary,0.829,0.55,0.726,0.432,0.472,38,0,5,1,8,10,0,4921507.78,0.0,0.045,40520.73,79415.19,20.0,0.157,2,0.726,0.42,0.681,1,0.18,8.767,12,1,0,1,0,0.0
Aero Pulse,SaaS,Pre-Seed,EU,Operator,0.49,0.793,0.636,0.497,0.376,25,0,13,1,25,7,0,14847369.09,11316.43,0.279,306011.31,18245.88,0.482,0.116,0,0.56,0.31,0.764,2,0.42,11.351,10,1,0,0,1,1393303.28
Spark Pulse,Bio/Health,Pre-Seed,SEA,Visionary,0.754,0.498,0.685,0.4,0.444,28,0,5,1,37,5,0,19776981.92,4830.52,0.121,171970.88,52515.65,7.491,0.083,0,0.507,0.067,0.44,2,0.308,14.531,6,1,0,1,0,7609.44
Nova Analytics,DevTools,Pre-Seed,Africa,Visionary,0.841,0.54,0.678,0.5,0.508,54,0,13,1,1,4,0,9211271.54,5020.17,0.049,325287.87,19919.73,6.792,0.167,4,0.702,0.067,0.395,2,0.0,4.057,4,1,0,0,1,56065.86
Nova Dynamics,Bio/Health,Seed,India,Salesperson,0.441,0.647,0.821,0.613,0.43,42,0,3,0,33,4,1,36036242.07,6874.87,0.024,413734.59,35493.5,18.246,0.148,6,0.316,0.013,0.349,4,0.321,11.332,4,1,1,0,1,17417.62
Flow Dynamics,SaaS,Seed,US,Operator,0.532,0.712,0.479,0.492,0.479,42,1,14,1,26,8,2,29573785.72,28195.24,0.026,543289.13,135079.81,15.277,0.124,4,0.459,0.11,0.388,4,0.305,29.514,10,1,0,0,1,309062.43
Spark Dynamics,Fintech,Seed,UK,Operator,0.588,0.715,0.544,0.435,0.501,40,0,11,1,26,16,1,30592371.99,12406.15,0.211,1068027.18,73862.34,2.349,0.206,5,0.49,0.415,0.635,2,0.304,7.708,23,1,0,1,0,23105.22
Vertex Forge,Fintech,Seed,UK,Operator,0.514,0.781,0.503,0.557,0.271,36,0,27,0,50,11,1,43310414.12,23325.26,0.062,82699.71,84393.9,4.832,0.11,7,0.857,0.447,0.24,3,0.31,25.381,14,1,0,1,0,47574.15
Aero Systems,SaaS,Seed,US,Engineer,0.581,0.779,0.476,0.537,0.426,24,0,7,1,16,7,2,22085997.68,37590.23,0.29,577675.58,24115.32,0.185,0.155,5,0.502,0.156,0.541,3,0.52,40.015,9,1,0,0,1,2456020.68
Aero AI,Fintech,Pre-Seed,US,Salesperson,0.578,0.641,0.958,0.528,0.452,48,0,14,0,9,9,1,22589883.32,25898.45,0.224,334066.73,5392.45,0.078,0.251,3,0.339,0.332,0.582,1,0.381,11.997,12,1,0,0,1,631382.0
Nova Pulse,Hardware,Pre-Seed,LatAm,Salesperson,0.601,0.498,0.703,0.636,0.584,28,0,8,0,19,6,0,15436859.03,16210.36,0.065,233181.71,23496.15,1.856,0.079,0,0.641,0.056,0.241,2,0.225,7.663,7,1,1,0,1,208849.69
Nova Cloud,AI/ML,Seed,EU,Visionary,0.879,0.532,0.592,0.399,0.464,34,0,6,1,30,15,2,10323872.83,0.0,-0.203,541448.57,68451.66,20.0,0.01,3,0.646,0.164,0.632,2,0.572,12.428,16,0,0,1,0,0.0
Nimbus Analytics,Climate,Pre-Seed,EU,Visionary,0.849,0.455,0.73,0.459,0.593,40,0,13,0,19,7,0,26982199.94,0.0,0.074,1134148.17,46938.57,20.0,0.071,2,0.694,0.052,0.468,2,0.565,7.848,8,0,0,1,0,0.0
Sigma Forge,Fintech,Seed,EU,Operator,0.586,0.746,0.64,0.566,0.397,38,0,15,1,5,10,0,4605543.76,25267.13,-0.008,285879.94,41348.13,20.0,0.144,3,0.718,0.079,0.443,3,0.535,32.308,13,0,0,1,0,27885.63
Hyper Drive,Bio/Health,Seed,EU,Engineer,0.623,0.6,0.302,0.487,0.372,37,0,15,0,14,19,2,7710883.71,8579.48,0.127,131088.5,71937.09,5.501,0.22,3,0.494,0.276,0.0,3,0.62,9.572,24,1,1,0,1,72433.46
Eco OS,SaaS,Pre-Seed,US,Visionary,0.816,0.554,0.531,0.486,0.483,32,0,4,1,8,2,2,10822281.18,8339.6,0.193,129724.9,39593.79,2.049,0.139,6,0.622,0.266,0.228,1,0.0,12.624,2,0,0,1,0,11722.35
Polar Works,DevTools,Pre-Seed,US,Operator,0.585,0.654,0.527,0.665,0.277,36,0,4,1,14,3,1,2093440.3,6129.88,0.241,77201.28,14182.26,0.8,0.319,1,0.446,0.181,0.346,2,0.453,12.568,4,1,0,1,0,9705.16
Quantum Forge,Fintech,Pre-Seed,US,Engineer,0.595,0.989,0.377,0.552,0.537,42,0,11,1,11,2,0,825917.58,36836.83,0.277,100089.38,76889.14,0.628,0.226,2,0.54,0.065,0.667,2,0.502,20.343,2,0,0,1,0,63307.03
Nova Grid,DevTools,Seed,MENA,Engineer,0.513,0.719,0.218,0.354,0.314,36,0,14,0,22,11,2,16765386.63,38167.66,0.382,867994.53,101642.13,0.58,0.15,1,0.461,0.227,0.334,5,0.559,6.491,16,0,0,1,0,126480.29
Nova Systems,Bio/Health,Seed,EU,Visionary,0.746,0.365,0.706,0.482,0.413,24,0,11,1,32,3,1,5490305.99,3450.69,0.038,220965.49,57212.41,20.0,0.179,4,0.628,0.07,0.444,1,0.59,9.94,3,1,1,0,1,38322.84
Sigma OS,Hardware,Pre-Seed,India,Visionary,0.791,0.487,0.635,0.657,0.548,37,0,10,1,22,6,1,13588591.94,19482.25,0.055,14191.61,38359.34,3.005,0.258,1,0.502,0.257,0.595,2,0.126,7.398,7,1,0,0,1,470904.37
Nova Analytics,Fintech,Seed,EU,Visionary,0.819,0.569,0.678,0.365,0.356,40,2,9,0,22,7,0,7494041.54,20073.11,0.244,966811.23,105754.5,1.802,0.152,6,0.363,0.337,0.598,3,0.155,19.93,9,1,0,1,0,43270.12
Nova Grid,AI/ML,Seed,LatAm,Visionary,0.695,0.55,0.644,0.489,0.453,29,0,11,1,13,10,2,13694471.93,2442.76,0.054,1027741.63,63354.44,20.0,0.17,5,0.62,0.549,0.497,2,0.33,15.402,12,1,1,1,0,13602.55
Nova Analytics,Bio/Health,Pre-Seed,US,Engineer,0.675,0.605,0.381,0.552,0.437,49,0,5,1,8,2,1,6035629.54,14798.61,0.442,97592.89,27323.4,0.348,0.204,0,0.338,0.434,0.227,1,0.467,5.115,2,1,1,0,1,1385905.92
Vertex OS,AI/ML,Pre-Seed,US,Operator,0.477,0.719,0.613,0.578,0.556,33,0,4,0,6,11,0,13985969.95,0.0,0.066,109918.7,45152.86,20.0,0.203,3,0.522,0.048,0.208,1,0.164,5.009,13,0,1,1,0,0.0
Nova Labs,AI/ML,Pre-Seed,Africa,Operator,0.422,0.879,0.705,0.375,0.356,35,0,6,0,7,3,3,26446940.43,7806.59,0.245,52435.0,6603.24,0.288,0.164,3,0.679,0.026,0.36,2,0.138,5.479,4,1,1,0,1,305636.97
Zen Analytics,Climate,Pre-Seed,US,Operator,0.559,0.83,0.426,0.511,0.365,30,1,11,0,15,2,0,16006968.31,2867.43,0.178,171251.99,76186.57,12.426,0.237,1,0.923,0.486,0.701,1,0.007,19.063,2,1,0,1,0,10331.2
Nova Dynamics,Climate,Pre-Seed,EU,Visionary,0.783,0.466,0.509,0.644,0.392,29,0,10,1,16,12,1,4773644.63,17949.93,0.217,673217.93,26679.45,0.57,0.055,3,0.583,0.057,0.408,3,0.565,15.214,16,1,0,1,0,262678.6
Quantum Grid,Bio/Health,Pre-Seed,US,Visionary,0.739,0.425,0.649,0.445,0.449,38,0,4,1,13,9,0,24282120.72,0.0,0.217,160176.62,48484.95,20.0,0.179,3,0.459,0.046,0.195,1,0.112,4.137,11,0,0,1,0,0.0
Spark Bio,Hardware,Pre-Seed,EU,Engineer,0.67,0.625,0.321,0.552,0.489,35,0,12,1,6,4,0,7887834.12,0.0,0.26,305547.31,69021.23,20.0,0.235,5,0.186,0.028,0.435,1,0.532,4.641,5,0,0,1,0,0.0
Nimbus Drive,SaaS,Pre-Seed,India,Salesperson,0.587,0.464,0.775,0.634,0.364,48,0,5,0,24,8,0,10028859.63,328.16,0.05,122248.23,53335.46,20.0,0.239,4,0.643,0.625,0.464,2,0.708,4.198,10,0,0,1,0,500.0
Polar Stack,DevTools,Seed,US,Engineer,0.721,0.514,0.314,0.519,0.325,34,0,15,1,25,6,1,434372.67,13083.3,0.004,1150722.23,99159.9,20.0,0.199,2,0.398,0.282,0.531,3,0.387,6.0,7,1,0,1,0,13231.85
Terra Pulse,AI/ML,Pre-Seed,US,Operator,0.514,0.612,0.591,0.52,0.496,33,0,5,0,1,4,0,2106097.42,5696.48,0.061,163960.59,27945.55,6.716,0.143,4,0.405,0.414,0.367,2,0.345,9.35,4,1,0,0,1,31344.16
Nimbus Analytics,Fintech,Pre-Seed,SEA,Operator,0.61,0.738,0.511,0.61,0.5,36,0,10,1,1,9,1,9529650.58,6634.39,-0.014,118463.43,78705.11,20.0,0.152,7,0.758,0.506,0.482,2,0.259,17.632,12,0,0,1,0,7000.22
Terra Bio,AI/ML,Pre-Seed,US,Engineer,0.618,0.772,0.374,0.512,0.413,23,0,11,1,15,5,0,5346399.13,5464.24,0.149,95145.61,61423.52,6.275,0.123,3,0.605,0.122,0.707,3,0.37,12.386,6,1,0,0,1,112767.87
Atlas Dynamics,Climate,Pre-Seed,EU,Visionary,0.802,0.588,0.764,0.482,0.407,29,0,4,0,11,2,0,20024207.69,6075.5,0.346,222233.52,57096.33,2.264,0.237,4,0.493,0.144,0.758,2,0.359,11.939,2,1,1,1,0,22818.38
Eco OS,Climate,Pre-Seed,EU,Operator,0.409,0.694,0.533,0.568,0.484,38,0,13,1,6,6,1,7318851.51,6540.97,0.088,229271.99,12510.57,1.81,0.172,3,0.419,0.046,0.471,1,0.148,6.945,7,1,1,1,0,27140.49
Quantum Forge,Fintech,Seed,EU,Operator,0.448,0.822,0.542,0.577,0.336,38,0,9,0,42,15,1,2677810.37,15243.69,0.152,149250.7,91963.81,3.302,0.194,3,0.602,0.073,0.508,1,0.225,8.255,20,1,0,1,0,23030.98
Nova Forge,Climate,Pre-Seed,EU,Visionary,0.684,0.516,0.621,0.489,0.521,26,0,13,0,3,6,1,4218677.74,0.0,0.152,136300.57,22346.61,20.0,0.231,7,0.532,0.654,0.405,1,0.06,4.657,7,0,0,1,0,0.0
Terra Systems,AI/ML,Pre-Seed,LatAm,Engineer,0.687,0.779,0.352,0.496,0.396,32,0,5,1,20,2,0,7371359.68,11075.61,0.069,86103.58,64409.47,6.983,0.278,3,0.403,0.416,0.296,1,0.308,5.339,2,1,0,1,0,39756.75
Flow Bio,DevTools,Seed,UK,Engineer,0.561,0.61,0.488,0.606,0.439,32,0,16,0,17,9,2,9377853.83,43093.49,0.254,462581.36,110227.1,0.84,0.179,8,0.686,0.664,0.341,3,0.299,9.27,11,1,0,1,0,70727.92
Spark Grid,Fintech,Pre-Seed,EU,Visionary,0.828,0.403,0.605,0.478,0.349,33,0,6,0,18,3,0,7124706.27,27538.46,0.263,111216.93,60392.0,0.695,0.056,4,0.677,0.024,0.279,2,0.153,12.73,3,0,0,1,0,55586.47
Vertex Forge,Bio/Health,Pre-Seed,EU,Visionary,0.795,0.51,0.665,0.399,0.533,36,0,9,0,13,2,0,17558334.64,468.08,0.142,157390.41,28587.06,20.0,0.212,2,0.907,0.033,0.09,2,0.398,2.817,2,1,0,1,0,1163.57
Quantum Pulse,SaaS,Seed,LatAm,Visionary,0.68,0.551,0.611,0.591,0.428,27,0,18,0,13,12,1,37359086.02,27616.97,0.239,248978.61,67112.19,0.846,0.116,3,0.5,0.11,0.229,2,0.384,5.033,14,0,0,1,0,35166.1
Flow Stack,Climate,Seed,UK,Visionary,0.909,0.413,0.745,0.537,0.56,38,0,12,1,24,16,2,9621356.44,16112.41,0.282,495964.17,84453.05,1.551,0.042,0,0.41,0.344,0.119,2,0.319,6.0,22,0,0,1,0,48594.56
Nova Analytics,AI/ML,Seed,US,Engineer,0.583,0.751,0.439,0.564,0.483,31,0,9,1,11,7,2,26397842.46,1899.83,0.08,199420.46,70802.42,20.0,0.048,2,0.306,0.292,0.632,2,0.473,11.442,9,0,0,1,0,2172.64
Sigma Bio,Climate,Seed,US,Visionary,0.703,0.569,0.559,0.405,0.545,42,0,10,0,22,2,2,24657617.05,20193.78,0.114,568085.17,64315.31,2.335,0.228,1,0.758,0.309,0.441,4,0.592,10.063,2,0,0,1,0,93355.4
Vertex Pulse,Climate,Pre-Seed,India,Visionary,0.88,0.598,0.583,0.354,0.439,32,0,9,0,10,7,2,21171394.12,10121.96,0.132,171933.37,15971.01,0.996,0.221,2,0.423,0.14,0.533,1,0.573,5.276,8,1,0,1,0,12735.13
Polar Grid,SaaS,Seed,India,Operator,0.568,0.813,0.51,0.439,0.295,41,0,11,1,37,12,0,43406625.36,18016.56,0.128,353007.68,120133.07,4.326,0.153,7,0.466,0.184,0.496,1,0.333,8.423,14,0,0,1,0,25132.07
Flow Works,Fintech,Pre-Seed,MENA,Engineer,0.479,0.819,0.358,0.488,0.412,26,0,8,1,9,4,2,13830581.6,2409.44,0.229,40497.65,7370.99,1.114,0.273,1,0.463,0.302,0.348,3,0.31,8.791,5,1,0,0,1,135380.8
Nova Dynamics,AI/ML,Seed,EU,Engineer,0.454,0.665,0.277,0.354,0.363,23,0,10,1,8,3,2,19686412.08,0.0,0.24,433323.2,45597.48,20.0,0.123,3,0.672,0.202,0.192,1,0.344,3.926,3,0,1,1,0,0.0
Hyper Drive,Climate,Pre-Seed,US,Operator,0.546,0.788,0.444,0.463,0.398,26,0,6,0,9,11,2,11906350.88,425.65,-0.062,229020.17,12833.73,20.0,0.092,0,0.547,0.375,0.77,1,0.47,10.857,14,1,0,1,0,896.79
Quantum Grid,Bio/Health,Pre-Seed,US,Engineer,0.693,0.575,0.433,0.504,0.487,38,0,12,1,40,2,0,8266651.73,5.55,0.11,676631.15,77923.22,20.0,0.208,3,0.796,0.445,0.636,1,0.362,21.929,2,0,0,1,0,6.63
Zen Drive,DevTools,Seed,UK,Operator,0.643,0.713,0.598,0.658,0.401,44,0,9,0,20,14,1,123701420.99,19242.09,0.023,454950.93,76616.89,14.258,0.01,2,0.624,0.3,0.624,2,0.486,9.57,18,1,1,1,0,240287.69
Atlas Analytics,Bio/Health,Seed,MENA,Salesperson,0.531,0.535,0.803,0.5,0.434,27,0,13,0,37,10,0,14122550.09,0.0,0.044,955205.52,75872.95,20.0,0.038,2,0.58,0.229,0.686,2,0.254,11.176,12,0,0,1,0,0.0
Spark Bio,Hardware,Seed,LatAm,Operator,0.636,0.763,0.496,0.552,0.585,29,0,14,0,29,21,1,8692807.23,0.0,0.23,292221.38,135668.28,20.0,0.108,1,0.663,0.21,0.916,3,0.162,6.635,29,0,0,1,0,0.0
Urban Logic,Hardware,Seed,EU,Engineer,0.607,0.503,0.488,0.567,0.401,23,0,14,0,22,8,0,57105982.57,9873.36,0.199,2073055.19,98083.58,4.166,0.183,2,0.671,0.083,0.433,2,0.357,10.481,10,1,0,1,0,139031.38
Spark Drive,AI/ML,Seed,SEA,Salesperson,0.517,0.585,0.727,0.502,0.37,31,0,14,1,30,11,1,3128146.62,27422.6,0.001,605923.38,78272.99,20.0,0.3,3,0.382,0.695,0.301,3,0.265,11.216,13,0,0,1,0,42100.52
Vertex Labs,SaaS,Seed,US,Operator,0.5,0.738,0.489,0.618,0.607,41,0,13,1,14,10,1,11185506.59,53664.49,0.089,355683.79,31375.95,0.546,0.264,5,0.376,0.506,0.357,2,0.41,12.657,12,1,1,0,1,360767.26
